# Force         
# CofR          : (2.50000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                1.46929174e+00 -7.72817213e-03 3.60719442e-05 9.13954270e-02 -7.63133398e-03 6.59864308e-06 1.37789631e+00 -9.68381443e-05 2.94733011e-05
2                8.94826474e-01 -2.94683335e-02 3.81280543e-05 8.23183561e-02 -2.96808748e-02 6.44919063e-06 8.12508118e-01 2.12541347e-04 3.16788637e-05
3                5.36229269e-01 2.45437327e-02 9.22837759e-06 -1.37648421e-02 1.96783017e-02 -5.49015347e-06 5.49994111e-01 4.86543101e-03 1.47185311e-05
4                3.38120396e-01 7.42552754e-02 -1.28143275e-05 -7.99428009e-02 6.67406473e-02 -1.40167820e-05 4.18063196e-01 7.51462810e-03 1.20245451e-06
5                2.63733034e-01 6.29299788e-02 -2.89897787e-05 -8.06034052e-02 5.45520413e-02 -1.42098393e-05 3.44336439e-01 8.37793747e-03 -1.47799394e-05
6                2.96606071e-01 -8.26711228e-02 -3.26433031e-05 8.98753769e-04 -8.97933327e-02 8.03336989e-08 2.95707318e-01 7.12220995e-03 -3.27236368e-05
7                2.82149947e-01 -5.00425401e-02 -1.05980320e-05 2.37548687e-02 -5.35473898e-02 3.13395302e-06 2.58395078e-01 3.50484970e-03 -1.37319850e-05
8                2.57026466e-01 -7.29992865e-02 2.20436486e-05 2.84909307e-02 -6.74084036e-02 3.37009791e-06 2.28535536e-01 -5.59088287e-03 1.86735507e-05
9                1.92616357e-01 3.82291084e-02 4.46675716e-05 -1.25546918e-02 4.81891062e-02 -4.63392816e-06 2.05171049e-01 -9.95999786e-03 4.93014997e-05
10               1.68514335e-01 1.52158221e-02 3.48485010e-05 -1.86442541e-02 2.20740420e-02 -5.40719801e-06 1.87158589e-01 -6.85821986e-03 4.02556990e-05
11               1.45512236e-01 8.40061698e-02 2.06068552e-06 -2.68983674e-02 8.08321653e-02 -6.57151032e-06 1.72410603e-01 3.17400451e-03 8.63219585e-06
12               1.41088696e-01 3.41481382e-02 -1.47451526e-05 -1.85656017e-02 2.50861681e-02 -4.99111377e-06 1.59654297e-01 9.06197014e-03 -9.75403879e-06
13               1.30770659e-01 2.92946794e-02 -2.41883141e-05 -1.75402615e-02 2.10680030e-02 -5.05131039e-06 1.48310920e-01 8.22667636e-03 -1.91370037e-05
14               1.39972015e-01 -9.16543326e-02 -1.37474731e-05 1.27893432e-03 -9.37809867e-02 -1.35644801e-06 1.38693081e-01 2.12665410e-03 -1.23910251e-05
15               1.35208847e-01 -9.88149681e-02 4.58282800e-06 5.01365316e-03 -9.62958484e-02 -2.98543715e-07 1.30195194e-01 -2.51911971e-03 4.88137171e-06
16               1.28674633e-01 -4.88725735e-02 1.84579217e-05 6.12881723e-03 -4.42175205e-02 2.63175826e-07 1.22545816e-01 -4.65505298e-03 1.81947458e-05
17               1.06090247e-01 1.06217320e-01 2.02092943e-05 -9.78095711e-03 1.09970405e-01 -2.84964028e-06 1.15871204e-01 -3.75308468e-03 2.30589346e-05
18               9.85607888e-02 9.52885809e-02 8.34633289e-06 -1.15126936e-02 9.62421877e-02 -3.37576402e-06 1.10073482e-01 -9.53606810e-04 1.17220969e-05
19               9.18646561e-02 5.20678165e-02 -6.38608677e-06 -1.29998715e-02 4.88361332e-02 -3.76750186e-06 1.04864528e-01 3.23168338e-03 -2.61858492e-06
20               9.00402971e-02 -6.73469878e-02 -7.58530352e-06 -9.99682097e-03 -7.23186307e-02 -3.25327390e-06 1.00037118e-01 4.97164286e-03 -4.33202962e-06
21               8.61890990e-02 -6.08941132e-02 -6.69090950e-06 -9.37349366e-03 -6.42595850e-02 -3.10874062e-06 9.55625927e-02 3.36547175e-03 -3.58216888e-06
22               8.82305015e-02 -1.35872500e-02 -3.55200422e-06 -3.34606182e-03 -1.35174458e-02 -1.80006456e-06 9.15765633e-02 -6.98042121e-05 -1.75193967e-06
23               8.52673607e-02 -9.92904523e-03 4.99969304e-06 -2.67953456e-03 -7.93261133e-03 -1.54914546e-06 8.79468952e-02 -1.99643391e-03 6.54883849e-06
24               8.06030594e-02 3.21482081e-02 7.14428846e-06 -3.98036234e-03 3.36864411e-02 -1.73524633e-06 8.45834218e-02 -1.53823299e-03 8.87953479e-06
25               7.72280223e-02 3.64523866e-02 5.42050483e-06 -4.28371051e-03 3.61491031e-02 -1.79503174e-06 8.15117328e-02 3.03283459e-04 7.21553657e-06
26               7.14864211e-02 1.22880621e-03 3.43926170e-06 -7.18228859e-03 -5.57841650e-04 -2.40275042e-06 7.86687096e-02 1.78664786e-03 5.84201212e-06
27               6.82209829e-02 -1.63068977e-02 4.09015619e-07 -7.81777007e-03 -1.80871923e-02 -2.58192327e-06 7.60387530e-02 1.78029459e-03 2.99093889e-06
28               6.55366952e-02 -1.51770052e-02 -1.33430076e-06 -8.08420094e-03 -1.60104620e-02 -2.64997983e-06 7.36208961e-02 8.33456707e-04 1.31567907e-06
