# Moment        
# CofR          : (2.50000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                -2.73441017e-06 -1.86561035e-05 -2.24492556e-03 -3.59458215e-06 -2.53725978e-06 -2.25641818e-03 8.60171988e-07 -1.61188438e-05 1.14926247e-05
2                9.13684712e-06 -2.77646192e-05 -5.44129220e-03 9.03577517e-06 -2.38544470e-06 -5.43895603e-03 1.01071953e-07 -2.53791745e-05 -2.33617400e-06
3                1.38945612e-05 -2.38641482e-05 2.98865310e-03 1.83767695e-05 1.90988966e-06 2.33445700e-03 -4.48220823e-06 -2.57740379e-05 6.54196107e-04
4                2.03944319e-05 -1.78008903e-05 1.01994726e-02 2.83242613e-05 4.93031372e-06 9.22068202e-03 -7.92982942e-06 -2.27312041e-05 9.78790607e-04
5                2.11335103e-05 -1.29872742e-05 8.15901893e-03 3.10877915e-05 5.00961214e-06 7.12566125e-03 -9.95428115e-06 -1.79968864e-05 1.03335768e-03
6                1.42028205e-05 -1.17796057e-05 -1.22945254e-02 2.44354654e-05 -7.76455743e-08 -1.31165807e-02 -1.02326449e-05 -1.17019601e-05 8.22055225e-04
7                -7.81877567e-06 -1.37116644e-05 -7.32281724e-03 -1.36486364e-06 -1.32578216e-06 -7.62863706e-03 -6.45391203e-06 -1.23858823e-05 3.05819811e-04
8                -1.31012330e-05 -1.67291242e-05 -1.03199951e-02 -1.58728790e-05 -1.42033526e-06 -9.29345853e-03 2.77164602e-06 -1.53087889e-05 -1.02653659e-03
9                -1.01453448e-05 -1.74223896e-05 5.51276147e-03 -1.86358121e-05 1.51808532e-06 7.17145500e-03 8.49046734e-06 -1.89404749e-05 -1.65869354e-03
10               4.30956527e-06 -1.39311169e-05 1.79534216e-03 -2.68348751e-06 1.89222044e-06 2.99098619e-03 6.99305278e-06 -1.58233373e-05 -1.19564403e-03
11               9.90083894e-06 -7.54291242e-06 1.16214792e-02 1.04863392e-05 2.36717889e-06 1.13312734e-02 -5.85500301e-07 -9.91009132e-06 2.90205820e-04
12               1.36578590e-05 -4.13950965e-06 4.21340714e-03 1.93004527e-05 1.71698855e-06 3.05522371e-03 -5.64259373e-06 -5.85649820e-06 1.15818342e-03
13               1.35609271e-05 -1.78456129e-06 3.73833825e-03 1.93751964e-05 1.74930412e-06 2.69132915e-03 -5.81426928e-06 -3.53386542e-06 1.04700910e-03
14               1.15997753e-05 -2.77605005e-06 -1.33161073e-02 1.42878014e-05 4.45838060e-07 -1.34880665e-02 -2.68802608e-06 -3.22188811e-06 1.71959292e-04
15               1.23209640e-06 -5.05706088e-06 -1.43155513e-02 1.53164612e-06 4.36536051e-08 -1.38187219e-02 -2.99549715e-07 -5.10071449e-06 -4.96829399e-04
16               -6.61999733e-06 -6.73339299e-06 -6.98798385e-03 -8.07900137e-06 -1.67989905e-07 -6.16917170e-03 1.45900404e-06 -6.56540309e-06 -8.18812148e-04
17               -7.48439256e-06 -6.34579270e-06 1.56434983e-02 -9.72389267e-06 9.63026612e-07 1.63328654e-02 2.23950011e-06 -7.30881931e-06 -6.89367157e-04
18               1.29707427e-06 -4.12878842e-06 1.38429971e-02 -3.15664442e-07 1.15135619e-06 1.41194623e-02 1.61273871e-06 -5.28014461e-06 -2.76465166e-04
19               8.44426356e-06 -1.50962766e-06 7.25887816e-03 9.31466592e-06 1.31812253e-06 6.91274728e-03 -8.70402362e-07 -2.82775019e-06 3.46130882e-04
20               1.10126416e-05 -1.04306409e-06 -1.04343334e-02 1.35922120e-05 1.10179600e-06 -1.10466197e-02 -2.57957042e-06 -2.14486010e-06 6.12286289e-04
21               9.18564981e-06 -9.04447755e-07 -9.41008663e-03 1.17830552e-05 1.06595247e-06 -9.80057497e-03 -2.59740540e-06 -1.97040022e-06 3.90488341e-04
22               5.68824686e-06 -1.27046967e-06 -1.96040553e-03 7.11587172e-06 6.12190824e-07 -1.87001697e-03 -1.42762487e-06 -1.88266049e-06 -9.03885606e-05
23               5.77665321e-07 -2.42636296e-06 -1.20739230e-03 1.12670737e-06 5.02268266e-07 -8.44187600e-04 -5.49042045e-07 -2.92863122e-06 -3.63204705e-04
24               -1.31220641e-06 -2.59481145e-06 4.93426978e-03 -1.23470156e-06 5.88789028e-07 5.23868774e-03 -7.75048531e-08 -3.18360048e-06 -3.04417959e-04
25               1.08094510e-07 -2.26061850e-06 5.34111343e-03 1.78222687e-07 5.99873164e-07 5.38055408e-03 -7.01281772e-08 -2.86049167e-06 -3.94406473e-05
26               2.61195502e-06 -1.80852078e-06 -1.88978342e-04 2.96326793e-06 8.08951311e-07 -3.64159231e-04 -3.51312915e-07 -2.61747209e-06 1.75180888e-04
27               4.95706609e-06 -1.23085545e-06 -2.77037749e-03 5.52673106e-06 8.64850952e-07 -2.94488596e-03 -5.69664971e-07 -2.09570640e-06 1.74508477e-04
28               5.70038822e-06 -8.32211164e-07 -2.49441050e-03 6.43944824e-06 8.96487657e-07 -2.54093764e-03 -7.39060025e-07 -1.72869882e-06 4.65271366e-05
29               5.01167522e-06 -6.53514747e-07 8.99209398e-04 5.91838287e-06 7.20431867e-07 9.54517624e-04 -9.06707645e-07 -1.37394661e-06 -5.53082263e-05
30               3.22108480e-06 -8.72154039e-07 1.39021488e-03 4.25845841e-06 6.76203867e-07 1.42519864e-03 -1.03737361e-06 -1.54835791e-06 -3.49837584e-05
31               2.23507449e-06 -1.03525589e-06 1.42603609e-03 3.19090835e-06 6.37611151e-07 1.38188844e-03 -9.55833859e-07 -1.67286704e-06 4.41476547e-05
32               2.17214724e-06 -1.04800341e-06 1.55610145e-03 2.95587208e-06 6.01142184e-07 1.45634948e-03 -7.83724839e-07 -1.64914560e-06 9.97519668e-05
33               2.57348596e-06 -1.05159389e-06 5.22415675e-05 3.18194922e-06 6.05191947e-07 -2.79405337e-05 -6.08463257e-07 -1.65678584e-06 8.01821012e-05
34               2.90445146e-06 -1.02774166e-06 -1.50547266e-03 3.38495364e-06 6.93994799e-07 -1.51424925e-03 -4.80502187e-07 -1.72173646e-06 8.77658679e-06
35               3.22181773e-06 -9.19038951e-07 -1.62588276e-03 3.68405187e-06 7.09358612e-07 -1.58528159e-03 -4.62234133e-07 -1.62839756e-06 -4.06011621e-05
36               3.24447607e-06 -7.24253211e-07 5.38618965e-04 3.83213163e-06 7.12119659e-07 5.51407975e-04 -5.87655561e-07 -1.43637287e-06 -1.27890106e-05
37               3.24177684e-06 -5.86731188e-07 1.44688886e-03 3.97908602e-06 6.60397045e-07 1.38905563e-03 -7.37309181e-07 -1.24712823e-06 5.78332326e-05
38               3.07402325e-06 -5.22509604e-07 1.43223253e-03 3.90717661e-06 6.51177833e-07 1.31610785e-03 -8.33153355e-07 -1.17368744e-06 1.16124680e-04
39               3.06537157e-06 -5.44474353e-07 7.70478698e-04 3.86830221e-06 6.28576774e-07 6.56932436e-04 -8.02930633e-07 -1.17305113e-06 1.13546262e-04
40               2.96155546e-06 -6.21982258e-07 -1.16344274e-04 3.69087753e-06 6.05947698e-07 -1.82815721e-04 -7.29322062e-07 -1.22792996e-06 6.64714471e-05
