# Moment        
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                7.15937691e-06 1.97887412e-06 3.64703432e-05 6.61305357e-06 2.54124312e-06 5.03359391e-05 5.46323339e-07 -5.62369002e-07 -1.38655959e-05
2                9.94237773e-06 -2.36751543e-07 -4.11249260e-06 9.29477717e-06 7.82452279e-07 3.52196194e-05 6.47600561e-07 -1.01920382e-06 -3.93321120e-05
3                4.59146613e-06 -1.08237558e-06 -4.64933704e-05 4.98176077e-06 -8.07446133e-07 -2.39090113e-06 -3.90294643e-07 -2.74929452e-07 -4.41024693e-05
4                -2.47753409e-06 -1.39205031e-06 -4.44803754e-05 -1.33997596e-06 -1.76053109e-06 -1.14164915e-05 -1.13755812e-06 3.68480778e-07 -3.30638839e-05
5                -5.44655882e-06 -9.36704267e-07 -2.16802542e-05 -4.60388290e-06 -1.25683210e-06 5.30124372e-06 -8.42675923e-07 3.20127832e-07 -2.69814979e-05
6                -3.29075147e-06 -6.03794281e-07 -3.10316268e-05 -3.35073889e-06 -6.85899700e-07 -3.84668285e-06 5.99874159e-08 8.21054190e-08 -2.71849439e-05
7                4.62879556e-08 -1.67050887e-06 -1.36282236e-05 -5.67829628e-07 -1.59767466e-06 1.43634004e-05 6.14117584e-07 -7.28342097e-08 -2.79916240e-05
8                1.17699846e-06 -1.02177194e-06 -3.39485690e-05 5.80178976e-07 -1.04385836e-06 -1.15835970e-06 5.96819484e-07 2.20864189e-08 -3.27902093e-05
9                9.09094689e-07 2.56489898e-07 -2.95604309e-05 6.28023338e-07 2.99631050e-07 1.64165567e-06 2.81071352e-07 -4.31411522e-08 -3.12020865e-05
10               4.50282586e-07 9.56192846e-07 -3.46763763e-05 4.64220906e-07 1.05400016e-06 -6.69333908e-06 -1.39383203e-08 -9.78073107e-08 -2.79830373e-05
11               1.03934178e-07 1.04161329e-06 -1.65754211e-05 3.18810577e-07 1.16482936e-06 7.97096326e-06 -2.14876400e-07 -1.23216075e-07 -2.45463844e-05
12               1.72650701e-07 -3.01488437e-07 -1.44670735e-05 4.23905715e-07 -2.28869877e-07 1.35440351e-05 -2.51255014e-07 -7.26185601e-08 -2.80111086e-05
13               5.97100448e-08 -6.45772666e-07 -1.96890439e-05 2.37223530e-07 -6.25464322e-07 1.45078274e-05 -1.77513486e-07 -2.03083440e-08 -3.41968713e-05
14               5.75678951e-08 -4.60325028e-07 -4.57894765e-05 1.02074755e-07 -4.82400982e-07 -1.08191069e-05 -4.45068602e-08 2.20759544e-08 -3.49703696e-05
15               5.51221037e-09 -4.80416162e-07 -3.84726106e-05 -3.14841758e-08 -5.20617765e-07 -1.27265133e-05 3.69963862e-08 4.02016029e-08 -2.57460973e-05
16               -2.84036168e-07 3.69113310e-08 -2.84615603e-05 -3.37555051e-07 -1.79098846e-08 -1.05751395e-05 5.35188830e-08 5.48212157e-08 -1.78864208e-05
17               -2.41511130e-07 2.34015623e-07 -3.03309342e-06 -3.27243884e-07 2.86418364e-07 1.41787473e-05 8.57327540e-08 -5.24027411e-08 -1.72118407e-05
18               2.75715897e-07 2.20761096e-07 -1.23801202e-05 1.71972388e-07 3.37102615e-07 1.27728207e-05 1.03743509e-07 -1.16341518e-07 -2.51529409e-05
19               6.42818076e-07 5.06733117e-08 -1.91362738e-05 6.00830470e-07 1.73722277e-07 1.13308766e-05 4.19876053e-08 -1.23048965e-07 -3.04671504e-05
20               4.76598002e-07 -1.24733682e-07 -3.68571942e-05 5.42416762e-07 -6.64877542e-08 -6.34830577e-06 -6.58187597e-08 -5.82459282e-08 -3.05088884e-05
21               1.96635850e-07 -1.15422884e-07 -2.92070116e-05 3.07872529e-07 -8.80812253e-08 -4.33592059e-06 -1.11236680e-07 -2.73416588e-08 -2.48710910e-05
22               3.20243638e-08 3.38820250e-08 -2.33556135e-05 1.15704287e-07 5.11388390e-08 -1.05217444e-06 -8.36799236e-08 -1.72568140e-08 -2.23034391e-05
23               -1.66652594e-07 2.14795344e-08 -2.46389845e-05 -1.33733803e-07 6.24950620e-08 -4.05873984e-06 -3.29187910e-08 -4.10155276e-08 -2.05802446e-05
24               -1.73850681e-08 7.60163733e-08 -1.59254042e-05 -6.17913464e-08 1.57489412e-07 3.53205377e-06 4.44062784e-08 -8.14730385e-08 -1.94574580e-05
25               1.57210137e-07 2.58098777e-08 -1.56580263e-05 8.22725593e-08 1.25819895e-07 5.97314610e-06 7.49375779e-08 -1.00010018e-07 -2.16311724e-05
26               1.99389209e-07 -2.92099669e-08 -2.09538586e-05 1.48516047e-07 7.24782077e-08 2.31755802e-06 5.08731625e-08 -1.01688175e-07 -2.32714166e-05
27               2.24809757e-07 -8.43858767e-08 -2.28239031e-05 2.10280206e-07 7.43119206e-09 -7.82454013e-08 1.45295514e-08 -9.18170688e-08 -2.27456577e-05
28               2.16466069e-07 -6.19387177e-08 -2.17239141e-05 2.34603920e-07 2.09120317e-08 -9.60830942e-08 -1.81378519e-08 -8.28507494e-08 -2.16278310e-05
29               2.01771533e-07 -2.76425329e-08 -1.97418874e-05 2.32212871e-07 4.52471383e-08 1.45971208e-06 -3.04413385e-08 -7.28896713e-08 -2.12015995e-05
30               9.67842462e-08 -5.26407791e-11 -2.07443519e-05 1.25057021e-07 7.47196744e-08 4.25285332e-07 -2.82727744e-08 -7.47723152e-08 -2.11696372e-05
31               1.07378242e-07 -1.02275581e-08 -1.97378077e-05 1.10351950e-07 7.67239531e-08 1.07681005e-06 -2.97370733e-09 -8.69515112e-08 -2.08146178e-05
32               1.38552167e-07 -1.43560817e-08 -1.82019764e-05 1.20984150e-07 8.21905794e-08 2.96426696e-06 1.75680168e-08 -9.65466611e-08 -2.11662433e-05
33               1.41328963e-07 -1.20275532e-08 -1.95174153e-05 1.21581070e-07 8.89762423e-08 2.54565120e-06 1.97478927e-08 -1.01003796e-07 -2.20630665e-05
34               1.39415955e-07 -1.05071520e-08 -2.18620531e-05 1.28505977e-07 9.22965349e-08 3.07822086e-07 1.09099776e-08 -1.02803687e-07 -2.21698752e-05
35               1.56143690e-07 -2.33369244e-08 -2.18157172e-05 1.53440895e-07 7.90012529e-08 -5.27757879e-07 2.70279521e-09 -1.02338177e-07 -2.12879593e-05
36               1.76600587e-07 -3.08138117e-08 -1.97953972e-05 1.79381347e-07 7.02075277e-08 7.78776355e-07 -2.78075979e-09 -1.01021339e-07 -2.05741735e-05
37               1.75010811e-07 -2.96600614e-08 -1.90380300e-05 1.80153681e-07 6.95043468e-08 1.60676492e-06 -5.14287017e-09 -9.91644082e-08 -2.06447949e-05
38               1.57769740e-07 -2.58333987e-08 -1.91929391e-05 1.61603932e-07 7.54251378e-08 1.83020192e-06 -3.83419215e-09 -1.01258537e-07 -2.10231411e-05
39               1.49011645e-07 -2.57470023e-08 -1.94278573e-05 1.48448438e-07 7.90249085e-08 2.01668289e-06 5.63207146e-10 -1.04771911e-07 -2.14445402e-05
40               1.41756184e-07 -2.59051401e-08 -2.01995609e-05 1.39247743e-07 8.07024695e-08 1.57918438e-06 2.50844092e-09 -1.06607610e-07 -2.17787453e-05
41               1.35001895e-07 -2.21211312e-08 -2.09984126e-05 1.33274521e-07 8.44619436e-08 7.35794860e-07 1.72737455e-09 -1.06583075e-07 -2.17342074e-05
