# Force         
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1                2.86643511e+00 9.13724401e-03 -1.63802641e-05 2.12955734e+00 9.38574603e-03 2.38797038e-05 7.36877777e-01 -2.48502018e-04 -4.02599679e-05
2                2.01516436e+00 3.04208655e-03 -1.17265739e-05 1.71701352e+00 3.59068988e-03 2.14970942e-05 2.98150840e-01 -5.48603329e-04 -3.32236681e-05
3                2.97490461e-01 2.69725271e-03 5.28712257e-06 1.86827465e-01 3.08850160e-03 1.66772200e-05 1.10662996e-01 -3.91248890e-04 -1.13900974e-05
4                -6.76128484e-01 1.41909392e-02 1.35525368e-05 -7.48779218e-01 1.41433948e-02 1.07386000e-05 7.26507342e-02 4.75444364e-05 2.81393680e-06
5                -4.57173592e-01 1.89772507e-02 1.16949553e-05 -5.54605184e-01 1.86918223e-02 1.12084405e-05 9.74315915e-02 2.85428403e-04 4.86514778e-07
6                1.56503839e-01 -1.10276121e-02 -3.44988060e-07 3.61063124e-02 -1.11879218e-02 -1.40012481e-07 1.20397526e-01 1.60309769e-04 -2.04975579e-07
7                4.22647098e-01 -3.69886155e-03 -4.57013425e-06 3.04299277e-01 -3.56035504e-03 -1.58382691e-06 1.18347821e-01 -1.38506501e-04 -2.98630735e-06
8                3.85043187e-01 -1.32526041e-02 -5.39279618e-06 2.85130804e-01 -1.27069707e-02 -1.09165175e-06 9.99123830e-02 -5.45633454e-04 -4.30114443e-06
9                2.05898138e-01 3.35180480e-03 1.11435968e-06 1.24204766e-01 3.95589448e-03 9.66965235e-06 8.16933722e-02 -6.04089682e-04 -8.55529267e-06
10               9.90702880e-02 4.77589482e-05 2.85493604e-06 2.74794810e-02 2.56062522e-04 1.01362092e-05 7.15908070e-02 -2.08303574e-04 -7.28127315e-06
11               6.10991952e-02 1.66010147e-02 3.53486616e-06 -7.02423846e-03 1.62225803e-02 1.00245992e-05 6.81234337e-02 3.78434347e-04 -6.48973299e-06
12               7.86343076e-02 1.80654745e-02 1.42856942e-06 1.23666835e-02 1.73279070e-02 4.70020909e-06 6.62676241e-02 7.37567540e-04 -3.27163967e-06
13               1.22812051e-01 1.73767354e-02 8.81506252e-07 5.92788180e-02 1.67380850e-02 4.85793149e-06 6.35332335e-02 6.38650436e-04 -3.97642524e-06
14               1.64025176e-01 -1.47973958e-02 -6.60736382e-07 1.03740738e-01 -1.50414170e-02 2.73326325e-06 6.02844384e-02 2.44021187e-04 -3.39399963e-06
15               1.34220156e-01 -1.92128537e-02 -1.06155821e-06 7.64648633e-02 -1.90790831e-02 1.09508610e-06 5.77552928e-02 -1.33770663e-04 -2.15664431e-06
16               1.07752904e-01 -1.64602443e-02 -8.04082818e-07 5.19258294e-02 -1.61538825e-02 9.37473085e-07 5.58270742e-02 -3.06361812e-04 -1.74155590e-06
17               1.02388399e-01 2.00548413e-02 1.14139861e-06 4.85554912e-02 2.01867724e-02 5.09275147e-06 5.38329083e-02 -1.31931126e-04 -3.95135285e-06
18               1.13343516e-01 2.14804693e-02 1.33199834e-06 6.19108753e-02 2.12210569e-02 5.96668477e-06 5.14326403e-02 2.59412415e-04 -4.63468643e-06
19               1.20895370e-01 1.99880206e-02 1.08174069e-06 7.17169688e-02 1.93707215e-02 6.06452867e-06 4.91784015e-02 6.17299088e-04 -4.98278798e-06
